Reporter: elmo075 (513727148922503168) | User: ｜ Bookie_peek ｜ 0e76 | UserID: usr_43bf19cb-a82e-4b4e-a050-a50c7e310e76 | Grund: Beleidigt Wahllos auch Moderatoren und fordert selbst zum Kick oder Bann auf. | Channel: trolls (1422288226042908803) | MessageID: 1422651482741674117
Reporter: elmo075 (513727148922503168) | User: JohnyKiller 9d9e | UserID: usr_23c3deca-83f3-45f4-970c-d6e6e9419d9e | Grund: Beleidigt wahllos, lässt sich nicht bändigen, Beleidigt auch Mods und fordert selbst zum Bann oder Kick auf | Channel: trolls (1422288226042908803) | MessageID: 1422651977871003668
Reporter: .npcnr1 (1084909652908707880) | User: MedĬ' | UserID: usr_48440f76-fa92-4905-8487-4245757c523d | Grund: Blocking Random Players | Channel: randomblocks (1422648448687144982) | MessageID: 1422652430260375562
Reporter: killmypc (812674225507794944) | User: 匚ӨᄂdᄂӨӨӨd | UserID: https://vrchat.com/home/user/usr_68f584d5-45da-4d38-8876-bd3f88bcb570 | Grund: Flying and teleporting | Channel: client-user (1422287534033211594) | MessageID: 1424497546709041192
Reporter: fakeriley (717408007952138370) | User: Slakzs | UserID: https://vrchat.com/home/user/usr_f311cbd5-ad53-4749-b9cf-fb8bf5e077c2 | Grund: Gang monkey shader | Channel: gangs (1422287846131236964) | MessageID: 1424838814660169941
Reporter: fakeriley (717408007952138370) | User: Slakzs | UserID: usr_f311cbd5-ad53-4749-b9cf-fb8bf5e077c2 | Grund: talking about crash avis | Channel: crasher (1422287478496296970) | MessageID: 1424838975964581968
Reporter: fakeriley (717408007952138370) | User: Not_a_good_day | UserID: usr_dc4233de-3207-4104-9070-cbde106d5142 | Grund: Avatar | Channel: gangs (1422287846131236964) | MessageID: 1425141274075463690
Reporter: fakeriley (717408007952138370) | User: Not_a_good_day | UserID: usr_dc4233de-3207-4104-9070-cbde106d5142 | Grund: Idk just blocked me | Channel: randomblocks (1422648448687144982) | MessageID: 1425142104912433307
Reporter: fakeriley (717408007952138370) | User: Hipnova_Street | UserID: usr_88f8df0b-209e-4536-8488-292a7d818ad6 | Grund: Random blocked me | Channel: randomblocks (1422648448687144982) | MessageID: 1425153394137366569
Reporter: fakeriley (717408007952138370) | User: Balls f110 | UserID: usr_423561c1-23fd-4a87-9c56-7b441967f110 | Grund: spielt musik ab und hat N4zi avatar an | Channel: trolls (1422288226042908803) | MessageID: 1425806353154310175
Reporter: fakeriley (717408007952138370) | User: ~SunnyY2G~ | UserID: usr_0ecd1dbd-c5bd-4402-ae86-66f7027bf426 | Grund: Gang monkey Avatar | Channel: gangs (1422287846131236964) | MessageID: 1425866660077899836
Reporter: fakeriley (717408007952138370) | User: Thecode10101 | UserID: usr_37d72aae-4a0b-4e0b-8104-1ef65bec92e7 | Grund: Crasht random black cat lobbys | Channel: crasher (1422287478496296970) | MessageID: 1425867045546758268
Reporter: fakeriley (717408007952138370) | User: DreamGamesTV | UserID: usr_25398c44-3ea6-4d3a-be2a-34085b59d204 | Reason: Answers for girls and i didnt asked him anything, i asked them | Channel: simp (1425547943078793257) | MessageID: 1427026259396923573
Reporter: fakeriley (717408007952138370) | User: dsad | UserID: das | Grund: das | Channel: pedo (1427029363060113428) | MessageID: 1427745257751318609
Reporter: r3d_l3gion (1145443207216386060) | User: Lyrikidionisos | UserID: usr_9cb8838c-ee3b-44fa-9899-30c9ef2ebb27 | Reason: This user is flying around in the black cat and they are also clipping through walls and floating above the ground without their hitbox falling or touching the ground indicating they are using a client to fly around and potentially do other things that are against the VRChat terms of Services, this user also crashed another user which is shown in the video i am providing now | evidence:https://youtube.com/shorts/BdTmCmIhDOo?feature=share | Channel: client-user (1422287534033211594) | MessageID: 1429963258282119200
Reporter: kio_qc (620054534349389835) | User: inspectorfrench | UserID: 0 | Reason: client user and dox ppl | Channel: client-user (1422287534033211594) | MessageID: 1430593623002447942
